Word,InverseAverage,InverseLinearRegressionSlope,IndexAboveThreshold(0.3),IndexPolynomialFitAboveThreshold(0.3),InflectionPointPolynomial
aaa,0.945126273,3.476688112,11,11,10.85190643
aachen,0.959662972,3.792250501,11,11,11.15845297
aardvark,0.632539257,1.366493877,3,4,7.026361734
aaron,0.837051557,2.506723485,5,11,9.782806941
aba,0.610256173,1.204541944,1,7,6.823155733
aback,0.860249664,2.646355531,11,11,10.07908213
abacus,0.607853511,1.360613858,3,3,6.850259599
abadan,0.784189126,1.742951289,7,8,8.245848154
abaft,0.900007856,2.547254639,9,10,9.727037805
abalone,0.436112405,1.022701293,2,2,5.447210056
abandon,0.726911645,1.710756249,4,9,8.098788481
abandonment,0.88183657,2.610515613,6,10,9.785064191
abase,0.895134104,3.021231139,5,11,10.4894091
abash,0.868059582,2.51297124,11,10,9.683345388
abate,0.838574676,2.311916045,11,10,9.380919063
abatement,0.926797132,3.048767171,11,11,10.36174483
abattoir,,,,,
abbas,0.849673401,2.142844428,7,9,9.037625143
abbess,0.893038756,2.668953779,11,10,9.88526246
abbey,0.75629092,1.814474404,5,8,8.329949852
abbie,0.695995982,1.447344039,5,7,7.448668663
abbot,0.786687112,1.928051652,5,9,8.601757776
abbott,0.800504843,1.999397541,5,9,8.735253304
abbreviate,0.708598954,1.506506809,5,7,7.573999563
abbreviation,0.492564966,1.10636997,2,3,5.87523862
abby,0.783286219,1.800776329,5,9,8.416474401
abc,0.565685155,1.403056561,0,2,6.809426567
abcs,0.960944066,4.043043378,11,11,11.48161169
abd,0.7485391,1.662056458,6,8,7.999749544
abdallah,0.913573447,3.0587697,11,11,10.43492743
abdicate,0.724743333,1.542350707,5,8,7.746966183
abdomen,0.478307429,1.111487369,2,3,5.781820499
abdominal,0.716525556,1.476715771,5,7,7.598323011
abduct,0.945958706,3.249900847,10,11,10.61947822
abduction,0.986173853,4.497763962,11,11,11.73542013
abductor,0.930904051,3.409018433,11,11,10.90288423
abdul,0.814353993,2.128138333,6,9,8.943393168
abe,0.488073017,1.27134856,1,1,5.877339325
abed,0.845437752,2.259522451,9,10,9.282071135
abel,0.890971481,2.775411109,11,11,10.0980611
aberdeen,0.940310484,3.466658277,11,11,10.88400889
abernathy,0.936689101,3.054561096,10,11,10.40368109
aberration,0.862610954,2.443321919,6,10,9.533531223
abet,0.879280323,2.798936513,2,11,10.24367259
abettors,0.977620684,4.206298128,11,11,11.49949923
abeyance,0.94392119,3.547618743,11,11,10.99290995
abhor,0.867174802,2.365644187,7,10,9.401943474
abhorrence,0.703196038,1.875299203,1,2,8.553595264
